Contract,Bid,Ask,Strike,SOD,BuyQty,SellQty ,NetPos,P//L,Delta,Theta,Mid volitality,Gamma,Vega
February10 C1.1975,0.00731,0.00804,1.1975,-10,0,4,-6,2320,93.56%,-0.02%,6.11%,34.24%,0.01%
February10 C1.2000,0.00505,0.00581,1.2,5,2,0,7,2320,85.46%,-0.04%,5.81%,58.42%,0.02%
February10 C1.2025,0.00155,0.00382,1.2025,32,0,3,35,13160,71.80%,-0.04%,5.57%,85.42%,0.03%
February10 C1.2050,0.00155,0.00226,1.205,20,4,3,27,8840,50.62%,-0.05%,5.42%,99.42%,0.04%
February10 C1.2075,0.00059,0.00128,1.2075,-7,0,0,-7,4320,28.96%,-0.04%,5.45%,86.36%,0.03%
February10 C1.2100,0.00006,0.00076,1.21,23,-2,45,66,2520,14.38%,-0.03%,5.58%,58.12%,0.02%
March17 P1.1975,0.00131,0.00206,1.1975,34,-6,0,28,-1200,-22.39%,-0.02%,6.00%,33.62%,0.06%
March17 P1.2000,0.00197,0.00272,1.2,23,0,0,23,-1540,-29.47%,-0.02%,5.90%,38.64%,0.07%
March17 P1.2025,0.00281,0.00357,1.2025,-2,5,23,26,1325,-38.19%,-0.02%,5.81%,42.42%,0.07%
March17 P1.2050,0.00389,0.00467,1.205,-5,3,0,-2,1240,-48.28%,-0.02%,5.76%,44.13%,0.08%
March17 P1.2075,0.00524,0.00602,1.2075,4,0,3,7,-2400,-58.66%,-0.02%,5.74%,43.24%,0.07%
March17 P1.2100,0.00683,0.00761,1.21,32,4,0,36,3200,-68.02%,-0.02%,5.77%,39.98%,0.07%
April24 C1.1975,0.01027,0.01102,1.1975,-20,0,11,-9,2320,72.78%,-0.01%,5.92%,27.96%,0.09%
April24 C1.2000,0.00853,0.00928,1.2,100,0,12,112,2540,66.73%,-0.02%,5.85%,30.45%,0.09%
April24 C1.2025,0.00696,0.00771,1.2025,15,0,0,15,-3400,59.82%,-0.02%,5.80%,32.25%,0.10%
April24 C1.2050,0.00558,0.00632,1.205,-34,22,3,-9,2350,52.17%,-0.02%,5.76%,33.10%,0.10%
April24 C1.2060,0.00439,0.00512,1.2075,-23,0,12,-11,1750,44.31%,-0.02%,5.74%,32.84%,0.10%
April24 C1.2070,0.00339,0.00411,1.21,17,4,14,35,1350,36.90%,-0.02%,5.75%,31.52%,0.10%
